;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Chile;5.776,0;5.761,1;5.772,1;5.552,6;5.503,5;5.831,6;5.787,4;5.733,1;5.624,9;5.330,3;5.250,4
República Dem.Congo / Dem. Republic Congo;816,7;995,6;1.039,0;1.023,7;1.094,6;1.225,2;1.420,4;1.400,0;1.878,2;2.359,8;2.842,0
Perú / Peru;1.375,6;1.377,6;1.700,8;2.353,9;2.445,6;2.437,0;2.455,4;2.154,0;2.299,3;2.445,1;2.755,1
China;1.681,3;1.741,2;1.667,1;1.850,7;1.656,4;1.506,6;1.601,3;1.673,3;1.740,6;1.705,0;1.685,0
Estados Unidos / USA;1.240,1;1.383,0;1.416,0;1.431,0;1.257,5;1.216,1;1.256,7;1.223,9;1.227,8;1.231,7;1.117,8
Rusia / Russia;725,0;683,0;699,8;684,5;722,0;773,0;792,2;881,2;880,8;880,8;1.000,4
Indonesia;494,0;366,0;580,1;695,9;666,3;651,1;400,2;491,9;730,9;921,3;894,5
Kazajstán / Kazakhstan;538,0;500,6;566,1;595,8;745,2;620,6;710,8;721,5;740,9;807,3;868,4
Australia;1.001,0;978,5;995,9;947,6;849,1;910,9;925,2;879,5;817,7;826,3;797,4
México / Mexico;480,1;526,6;607,9;766,1;742,2;751,0;769,7;749,7;737,1;753,9;726,5
Zambia;751,6;755,8;725,3;738,0;794,1;854,1;789,9;869,1;880,8;763,3;697,8
Canadá / Canada;652,6;672,7;714,6;696,5;597,2;548,0;560,8;584,6;547,8;519,7;499,8
Polonia / Poland;429,4;421,3;426,0;424,3;419,2;401,3;398,9;392,7;391,3;372,9;395,8
Brasil / Brazil;271,0;298,1;359,8;337,6;384,5;385,8;363,3;352,6;323,6;284,5;344,0
Mongolia;189,0;251,3;326,7;352,5;319,8;320,2;306,5;307,4;319,4;287,6;335,4
Panama;0,0;0,0;0,0;0,0;0,0;0,0;147,5;205,5;331,0;350,4;330,9
Irán / Iran;222,7;212,1;243,1;278,5;292,4;311,4;307,3;309,2;315,9;318,9;322,4
Uzbekistán / Uzbekistan;100,0;100,0;130,0;135,0;140,1;141,2;137,3;142,8;142,8;122,2;142,1
Bulgaria;115,1;108,3;112,6;111,9;113,3;109,4;110,7;113,1;98,0;116,0;118,0
Turquía / Turkey;120,5;123,1;108,0;100,0;83,0;79,6;107,8;106,3;108,1;100,0;116,0
España / Spain;101,6;104,4;121,4;137,9;188,3;186,5;171,4;190,3;149,5;120,8;115,2
Laos;154,9;159,7;167,7;167,7;153,3;150,9;141,3;91,3;92,4;97,2;110,5
Papúa Nueva Guinea / Papua New Guinea;105,5;75,9;45,2;80,0;105,0;96,3;99,4;82,8;48,0;73,9;87,3
Suecia / Sweden;82,9;79,3;75,1;79,0;104,4;106,1;99,3;100,1;86,3;88,3;74,9
Arabia Saudita / Saudi Arabia;8,0;8,7;12,3;27,8;43,0;57,3;66,9;75,4;76,3;75,4;72,8
Botswana;48,5;47,7;13,9;12,4;1,2;1,5;0,0;0,0;0,0;44,3;72,4
Armenia;48,9;46,8;51,8;95,2;95,8;68,9;92,0;90,2;90,2;73,8;69,5
Filipinas / Philippines;90,9;92,4;83,8;83,6;68,2;69,9;71,9;60,9;51,6;59,1;62,0
Serbia;32,7;32,7;30,6;38,5;43,4;42,5;78,0;62,6;78,3;67,2;60,0
Sudáfrica / South Africa;80,8;78,7;77,4;65,3;65,5;46,9;52,5;29,1;28,3;49,2;50,0
India;39,5;36,0;28,5;32,8;33,0;40,8;42,2;31,7;41,8;30,3;38,4
Marruecos / Morocco;13,0;22,4;26,9;31,8;35,4;32,2;28,6;30,2;36,5;34,9;36,5
Portugal;77,1;75,2;83,0;76,6;63,7;49,1;41,4;30,7;37,9;31,9;33,8
Vietnam;12,3;20,3;22,6;22,6;21,4;16,0;21,2;28,9;21,6;27,8;27,6
Finlandia / Finland;38,8;42,8;41,1;47,5;53,1;46,8;32,9;35,5;32,7;29,0;20,1
Eritrea;21,8;88,9;61,6;25,3;7,9;17,1;16,0;21,7;21,7;20,0;20,0
Zimbabwe;8,3;8,3;8,2;9,1;8,8;9,1;8,7;7,9;9,2;10,2;13,4
Paquistán / Pakistan;13,5;13,1;13,1;14,1;10,1;12,5;13,0;13,2;13,2;13,2;13,2
Mauritania;38,0;33,1;45,0;32,8;28,8;28,1;29,6;28,5;18,8;13,3;13,0
Rumania / Romania;6,7;7,7;7,7;8,4;6,5;8,5;10,2;9,4;7,9;9,3;11,5
Georgia;7,0;13,1;11,7;7,6;9,4;9,1;9,5;10,0;10,0;10,0;10,0
Dominican Republic;10,4;9,1;7,3;9,7;9,6;8,6;6,0;2,3;2,4;5,7;9,1
Macedonia;11,0;9,2;11,1;10,4;9,5;7,8;7,2;6,7;6,2;7,8;8,1
Colombia;0,8;4,1;5,5;8,5;9,4;9,9;7,6;9,4;8,3;6,9;6,0
Kyrgyzstan;0,0;0,7;3,1;8,3;8,0;7,6;7,3;5,1;6,1;6,0;6,0
Bolivia ;7,5;10,7;9,5;8,7;7,1;5,2;4,5;2,8;3,3;3,6;3,9
Albania;5,9;3,5;1,6;0,0;0,0;2,4;6,1;7,8;6,0;5,6;2,8
Corea del Norte/ North Korea;8,4;9,6;10,7;15,7;2,2;2,2;2,2;1,9;1,8;2,0;2,0
Myanmar;17,7;31,3;44,9;63,1;86,2;127,6;121,9;161,2;157,2;0,0;0,0
Namibia;4,9;5,2;10,7;16,4;15,5;15,2;15,7;10,6;1,0;0,0;0,0
Argentina;109,6;102,6;61,8;81,9;33,3;17,4;0,0;0,0;0,0;0,0;0,0
Oman;9,1;12,1;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Tanzania;15,0;16,4;16,8;7,4;5,9;0,0;0,0;0,0;0,0;0,0;0,0
Chipre / Cyprus;3,6;3,1;2,1;1,8;1,4;0,9;0,7;0,0;0,0;0,0;0,0
OTROS / Other;2,9;3,9;1,3;4,0;8,5;7,2;14,0;29,7;65,5;122,7;123,6
;;;;;;;;;;;
TOTAL;18.217,1;18.565,0;19.412,4;20.407,8;20.168,9;20.381,9;20.668,5;20.559,2;21.346,9;21.636,4;22.413,1
